date,open,high,low,close,volume,Name,Return,Price_Range,Daily_Change,Relative_Change
2013-04-29,13.04,13.18,13.03,13.1,2910262,PBCT,-0.22848438690023712,0.15000000000000036,0.0600000000000005,0.4601226993865069
2016-07-01,191.71,192.4,186.6702,189.13,1052713,MLM,-1.4947916666666692,5.7298000000000116,-2.5800000000000125,-1.345782692608634
2015-12-28,29.53,29.59,29.165,29.57,1220732,ETFC,-0.47122181083810355,0.4250000000000007,0.03999999999999915,0.13545546901455857
2016-06-08,29.94,30.225,29.64,29.67,5350567,ARNC,1.0214504596527092,0.5850000000000009,-0.2699999999999996,-0.9018036072144273
2018-01-05,46.13,46.655,45.3752,45.8,47381089,MU,-2.3037542662116155,1.2798000000000016,-0.3300000000000054,-0.7153696076306209
2015-11-19,176.5,177.625,174.03,174.48,882440,ALXN,-1.2284177752618262,3.594999999999999,-2.0200000000000102,-1.1444759206798925
2017-03-24,28.98,29.08,28.58,28.75,2158625,MOS,-0.8620689655172413,0.5,-0.23000000000000043,-0.7936507936507952
2015-08-04,59.02,59.72,58.94,59.53,405540,RJF,0.9667571234735418,0.7800000000000011,0.509999999999998,0.86411385970857
2014-05-02,96.205,97.785,96.09,97.59,1516208,PPG,1.318521594684396,1.6949999999999932,1.3850000000000051,1.439634114651011
2016-07-27,59.55,59.93,59.15,59.6,2405108,FL,0.18490502605479817,0.7800000000000011,0.05000000000000426,0.08396305625525485
2016-10-13,32.22,32.6,32.18,32.48,4808862,PGR,2.557625513103868,0.4200000000000017,0.259999999999998,0.8069522036002421
2014-07-11,17.52,17.67,17.46,17.56,869959,NWS,0.28555111364932695,0.21000000000000085,0.03999999999999915,0.22831050228310015
2014-12-22,22.43,22.71,22.42,22.66,3255489,JNPR,0.8007117437722406,0.28999999999999915,0.23000000000000043,1.0254123941150264
2016-08-29,117.96,118.76,117.756,118.3,341541,ROK,0.3648086875371109,1.0040000000000049,0.3400000000000034,0.2882332994235363
2013-06-04,53.34,53.65,51.73,52.11,2862799,STZ,-2.4340011233851286,1.9200000000000017,-1.230000000000004,-2.3059617547806597
2015-01-02,46.29,46.37,45.49,45.99,2557072,AEE,-0.3034901365705627,0.8799999999999955,-0.29999999999999716,-0.6480881399870321
2015-12-09,111.66,112.89,110.83,111.04,1835515,TRV,-1.1835899261368676,2.0600000000000023,-0.6199999999999903,-0.5552570302704553
2016-12-19,35.38,35.69,35.23,35.54,1206284,UDR,0.93723374041465,0.46000000000000085,0.1599999999999966,0.4522328999434612
2015-02-06,113.44,113.48,111.89,112.64,1737989,VNO,-1.1669737650258825,1.5900000000000034,-0.7999999999999972,-0.7052186177715067
2016-01-04,228.2,230.87,224.12,229.86,838787,TDG,0.6172028890348107,6.75,1.660000000000025,0.7274320771253396
2015-03-30,54.86,55.26,54.73,55.22,559984,TMK,1.0060362173038178,0.5300000000000011,0.35999999999999943,0.6562158220925983
2017-09-19,170.62,172.56,170.36,172.52,13168595,FB,1.4763837421328272,2.1999999999999886,1.9000000000000057,1.1135857461024532
2017-01-18,109.96,111.29,109.33,111.24,1715584,LRCX,1.961503208065995,1.960000000000008,1.2800000000000011,1.1640596580574765
2015-07-24,72.4,72.54,71.03,71.61,3418825,APC,-1.2820512820512913,1.5100000000000051,-0.7900000000000063,-1.0911602209944837
2014-02-25,26.79,26.79,26.3,26.5,2557038,GT,0.22692889561270316,0.48999999999999844,-0.28999999999999915,-1.0824934677118296
2015-10-27,124.51,125.09,123.82,124.47,3674805,HD,-0.4319654427645838,1.2700000000000102,-0.04000000000000625,-0.03212593365995201
2017-01-18,108.07,109.56,107.41,108.87,702205,SLG,0.796222571984075,2.1500000000000057,0.8000000000000114,0.7402609419820593
2015-02-27,69.96,70.38,69.82,69.83,1086440,NTRS,-0.4987175833570939,0.5600000000000023,-0.12999999999999545,-0.1858204688393303
2015-08-06,121.83,122.29,119.62,120.17,2291372,RL,-1.0946502057613154,2.6700000000000017,-1.6599999999999966,-1.3625543790527757
2016-09-12,12.32,12.77,12.28,12.7,42690174,F,2.584814216478178,0.4900000000000002,0.379999999999999,3.0844155844155763
2013-08-20,80,81.68,79.91,81.19,1224382,TIF,1.703620192909933,1.7700000000000102,1.1899999999999977,1.4874999999999972
2017-03-22,81.84,82.26,81.65,82.12,2604890,ADI,0.391198044009789,0.6099999999999994,0.28000000000000114,0.342130987292279
2017-06-22,21.29,21.61,21.11,21.43,6802298,RRC,0.9896324222431708,0.5,0.14000000000000057,0.6575857209957754
2013-10-17,8.67,8.9,8.5,8.88,19339992,HBAN,3.315881326352532,0.40000000000000036,0.21000000000000085,2.4221453287197328
2015-09-04,52.03,52.37,51.81,51.93,1065807,AME,-1.6104585070102337,0.5599999999999952,-0.10000000000000142,-0.19219680953296447
2016-07-13,40.5,40.6,39.4202,39.56,13885618,DAL,-1.6165133051479696,1.1798000000000002,-0.9399999999999977,-2.320987654320982
2017-05-03,27.82,27.87,26.39,26.78,7581919,DISCA,-4.220314735336193,1.4800000000000004,-1.0399999999999991,-3.7383177570093427
2016-02-05,38.23,38.35,37.115,37.41,5750213,ABT,-1.5785319652723007,1.2349999999999994,-0.8200000000000003,-2.1449123724823447
2018-01-23,57.44,57.6,56.3725,57.1,9878037,CSX,-1.0912870258097964,1.2274999999999991,-0.3399999999999963,-0.5919220055710243
2013-05-21,36.215,36.3999,35.07,35.555,4465284,COG,-1.6187050359712254,1.329900000000002,-0.6600000000000037,-1.8224492613558019
